"id","car_id","benennung","source"
"BG_0167","TR_X_0095","Codex patris","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 145r [alt 163r]"
"BG_0168","TR_X_0096","Lombardica historia codex albus non fibulatus textus modus","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 19v"
"BG_0169","TR_X_0097","Sophologium","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 30r"
"BG_0170","TR_X_0098","De discretione spirituum codex citrinus non fibulatus textus modus","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 153rb"
"BG_0171","TR_X_0099","Codex albus Epistolarum Senensis","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 256r"
"BG_0172","TR_X_0100","Prosper","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 11bv"
"BG_0173","TR_X_0101","Vitae philosophorum niger libellus textus modus","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 225r"
"BG_0174","TR_X_0102","Quadragesimale Pisani codex fuscus arcus modus","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 234r"
"BG_0175","TR_X_0102","Quadragesimale codex fuscus non fibulatus","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 12r"
"BG_0176","TR_X_0103","Codex viridis fibulatus Aratoris Alcimi et Fortunati","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 43v"
"BG_0177","TR_X_0104","Codex fuscus fibulatus Griseldis","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 66r"
"BG_0178","TR_X_0104","Codex russus textus modus","München, Bayerische Staatsbibliothek, Clm 17831, Bl. 130va"
"BG_0179","TR_X_0105","Liber russus spissus epistolarum arcus modus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40v"
"BG_0180","TR_X_0105","Codex russus spissus tractatum poeticalium","Basel, Universitätsbibliothek, Cod. O I 10, Bl. 347r"
"BG_0181","TR_X_0106","Quadragesimale Ruperti de Licio","München, BSB, Clm 3560, Bl. 60va"
"BG_0182","TR_X_0107","Codex spissus niger Ysengarii","Gotha, Forschungsbibliothek, Chart. B 61, Bl. 255v"
"BG_0183","TR_X_0108","Jheronimus De Hebreicis questionibus","Basel, Universitätsbibliothek, O I 10, Bl. 47r"
"BG_0184","TR_X_0109","Lumen anime","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13r"
"BG_0185","TR_X_0110","Liber graecismi","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 90v"
"BG_0186","TR_X_0111","Rota veneris","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 200rb"
"BG_0187","TR_X_0112","Boccaccius Preclararum mulierum","Wolfenbüttel, Herzog-August-Bibliothek, Cod. Guelf. 36.19 Aug. 2°, Bl. 188v"
"BG_0188","TR_X_0113","Wylhelmus Duranti Rationale","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276, Bl.135r"
"BG_0189","TR_X_0113","Rationale divinorum","München, Bayerische Staatsbibliothek, Clm 17831, Bl. 99ra"
"BG_0190","TR_X_0114","Liber niger Facieciarum Poggii","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 30r"
"BG_0191","TR_X_0115","De probrietatibus rerum","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40v"
"BG_0192","TR_Y_0001","Historie scholastice tabula cum Johannitis viridis insule Argentine","München, Bayerische Staatsbibliothek, Clm 17834, Vorsatzbl. IIr"
"BG_0193","TR_Y_0002","Codex niger Communiloquii domini Eucharii","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 17vb"
"BG_0194","TR_Y_0003","Dominus Valentinus habet in parvo volumine","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 115r"
"BG_0195","TR_Y_0004","Codex russus pergameneus textus modus cum Evangelio Mathei","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 152rb"
"BG_0196","TR_Y_0005","Lucas de Padua Sermones in libraria Johannitarum Argentine","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 74r"
"BG_0197","TR_Y_0006","Domini Valentini asseribus [codex] russus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 92r"
"BG_0198","TR_Y_0007","Reinhardus cum weschelyer et Ywain in uno volumine","Heidelberg, UB, Cpg 314, Bl. 200*v"
"BG_0199","TR_Y_0008","Liber coopertorio albo","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 200v"
"BG_0200","TR_Y_0009","Tractatus habentur per lectorem Slesitam Carmelitarum in viridi volumine","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 399v"
"BG_0201","TR_Y_0010","Tractatus de arte bene moriendi doctoris Jacobi Karthusiensis de Ertfordia quo dominus Eucharius habundat","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 165ra"
"BG_0202","TR_Y_0011","Cum doctori Syfrido librum suum de tractatibus pluribus","München, Bayerische Staatsbibliothek, Clm 3560, Vorsatzbl. r"
"BG_0203","TR_Y_0012","Venantii Fortunati liber primus albus codex in pergameno in Murbaco in castro Hugstain","Basel, Universitätsbibliothek, O I, Bl. Ir"
"BG_0204","TR_Y_0013","Codex Belial presbyteri","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276, Bl. 242r [alt 286r]"
"BG_0205","TR_Y_0014","Rubeus liber olim Heinrici Graef nunc Wylhelmitarum Argentine","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 391r"
"BG_0206","TR_Y_0014","Citrinus liber formularum apud Wylhelmitas olim Johannis Graef","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 154rb"
